Facility_Type,Facility_Number,Facility_Name,Licensee,Facility_Administrator,Facility_Telephone Number,Facility_Address,Facility_City,Facility_State,Facility_Zip,County_Name,Regional_Office,Facility_Capacity,Facility_Status,License_First_Date,Closed_Date
RESIDENTIAL CARE ELDERLY,75601359,HOME SWEET CARE HOMES,"HOME SWEET CARE HOMES, INC","SORIANO, CHRISTINE/CORNELL",(925) 831-9869,1584 DIANDA DRIVE,CONCORD,CA,94521,CONTRA COSTA,15,6,LICENSED,10/5/2007,
RESIDENTIAL CARE ELDERLY,374603428,HOME SWEET HOME,"HSH RESIDENTIAL CARE, INC.",KELLY WELKER,(760) 295-3523,1152 SAL LANE,VISTA,CA,92084,SAN DIEGO,8,6,CLOSED,9/26/2014,9/27/2017
RESIDENTIAL CARE ELDERLY,415600930,HOME SWEET HOME,"NEDILIJKA COLMA, INC&CLAREMONT RETIREMENT SVC INC.","HART, THERESA",(925) 362-0354,205 COLLINS AVENUE,COLMA,CA,94014,SAN MATEO,14,57,CLOSED,,12/21/2015
RESIDENTIAL CARE ELDERLY,75601206,HOME SWEET HOME,"TORRES, AMELIA S.",ALI S DASTGHEIB,(510) 245-2948,295 SPARROW DR.,HERCULES,CA,94547,CONTRA COSTA,15,6,CLOSED,1/26/2006,8/19/2019
RESIDENTIAL CARE ELDERLY,157202703,HOME SWEET HOME,"DE GUZMAN, LEONARD AND DELFIN, LOTTA R.","DEGUZMAN, LEONARD",(661) 836-3761,2320 SO. I STREET,BAKERSFIELD,CA,93304,KERN,24,6,CLOSED,5/29/2003,12/1/2016
RESIDENTIAL CARE ELDERLY,397005496,HOME SWEET HOME,MICHAEL BOESE,IRENE SAUSEDA,(209) 369-7272,1330 W. WALNUT STREET,LODI,CA,95242,SAN JOAQUIN,27,10,LICENSED,1/27/2015,
RESIDENTIAL CARE ELDERLY,198600256,HOME SWEET HOME,CODRUTA PAULA VALEANU,CODRUTA PAULA VALEANU,(562) 884-5582,3342 COLD PLAINS DR.,HACIENDA HEIGHTS,CA,91745,LOS ANGELES,28,5,LICENSED,10/1/2003,
RESIDENTIAL CARE ELDERLY,405802261,HOME SWEET HOME,CENTRAL COAST IN HOME CARE,"MONTANO, VALERIE",(805) 975-3712,2307 ARCIERO COURT,PASO ROBLES,CA,93446,SAN LUIS OBISPO,29,6,LICENSED,3/17/2017,
RESIDENTIAL CARE ELDERLY,415600124,HOME SWEET HOME-COLMA,"NEDILJKA COLMA, INC.","NEDILJKA, MATIJAS",(650) 992-0868,205 COLLINS AVENUE,COLMA,CA,94014,SAN MATEO,14,57,CLOSED,3/27/2002,12/21/2015
RESIDENTIAL CARE ELDERLY,342700373,HOME SWEET HOME - ASSISTED LIVING FACILITY,"MEZA, LILIBETH & TRAIN, ANGELINA","MEZA, LILIBETH",(916) 661-2940,8890 HARLOW CT,ELK GROVE,CA,95624,SACRAMENTO,27,6,LICENSED,12/4/2018,
RESIDENTIAL CARE ELDERLY,331800231,HOME SWEET HOME ASSISTED LIVING,HOME SWEET HOME SENIOR CARE LLC,"CONDIT, CHRYSTAL",(951) 719-6124,29510 SCOREBOARD,LAKE ELSINORE,CA,92530,RIVERSIDE,18,5,LICENSED,12/20/2017,
RESIDENTIAL CARE ELDERLY,374602806,HOME SWEET HOME CARE,"NONAY, NORMA D.","NONAY, NORMA D.",(619) 472-9205,6811 FUJI STREET,SAN DIEGO,CA,92139,SAN DIEGO,8,6,LICENSED,4/20/2009,
RESIDENTIAL CARE ELDERLY,565801300,HOME SWEET HOME CARE,"VALENCIA, GLORIA P.",GLORIA P. VALENCIA,(805) 659-4427,7520 VAN BUREN STREET,VENTURA,CA,93003,VENTURA,31,6,LICENSED,7/17/2005,
RESIDENTIAL CARE ELDERLY,397002694,HOME SWEET HOME FOR THE ELDERLY,"SUZARA, SARAH JANE","SUZARA, SARAH",(209) 470-7772,14110 JASPER STREET,LATHROP,CA,95330,SAN JOAQUIN,27,6,LICENSED,11/7/2006,
RESIDENTIAL CARE ELDERLY,197602143,HOME SWEET HOME II,"HOME SWEET HOME RESIDENTIAL CARE, INC.",ALFONSO DE LA CUESTA,(661) 254-3336,23788 VIA JACARA,VALENCIA,CA,91355,LOS ANGELES,31,6,LICENSED,1/6/1999,
RESIDENTIAL CARE ELDERLY,342700662,HOME SWEET HOME II ASSISTED LIVING FACILITY,LILIBETH MEZA,"MEZA, LILIBETH",(916) 661-2940,8781 KELSEY DRIVE,ELK GROVE,CA,95624,SACRAMENTO,27,6,LICENSED,9/4/2019,
RESIDENTIAL CARE ELDERLY,197602611,HOME SWEET HOME III,HOME SWEET HOME RESIDENTIAL CARE FOR THE ELDERLY,ALFONSO DELA CUESTA,(661) 253-1690,23312 TRISTIN DRIVE,VALENCIA,CA,91355,LOS ANGELES,31,6,CLOSED,1/28/2000,6/23/2017
RESIDENTIAL CARE ELDERLY,79200822,HOME SWEET HOME OF HERCULES,"DASTGHEIB, ALI SINA","DASTGHEIB, ALI SINA",(510) 245-2948,295 SPARROW DR,HERCULES,CA,94547,CONTRA COSTA,15,6,LICENSED,8/19/2019,
RESIDENTIAL CARE ELDERLY,374601868,HOME SWEET HOME RCFE,"VARGAS, MANUEL R. AND AIDA A.",MANUEL VARGAS,(760) 233-0302,1380 REES RD,ESCONDIDO,CA,92026,SAN DIEGO,8,6,CLOSED,10/29/2004,7/30/2018
RESIDENTIAL CARE ELDERLY,306005720,HOME SWEET HOME RESIDENTIAL CARE,"LUXURY LIVING SENIOR CARE, LLC","LUU, CHI V",(714) 785-9555,362 N SWIDLER STREET,ORANGE,CA,92869,ORANGE,22,6,PENDING,,
RESIDENTIAL CARE ELDERLY,415600821,HOME SWEET HOME SENIOR CARE,"HOME SWEET HOME SENIOR CARE DALY CITY, INC.",NEDILJKA MATIJAS,(650) 992-2727,1560 BRYANT STREET,DALY CITY,CA,94015,SAN MATEO,14,55,LICENSED,9/23/2010,
RESIDENTIAL CARE ELDERLY,79200766,HOME SWEET PUEBLO,HOME SWEET CARE HOME INC,"SORIANO, CHRISTINE",(925) 357-8244,18 PUEBLO CT.,ALAMO,CA,94507,CONTRA COSTA,15,6,CLOSED,,12/10/2018
RESIDENTIAL CARE ELDERLY,197607090,"HOME WITH HEART, INC.","HOME WITH HEART, INC.",ADRIANA ANDRADE,(818) 835-9461,6900 ROYER AVENUE,WEST HILLS,CA,91307,LOS ANGELES,31,6,LICENSED,9/26/2007,
RESIDENTIAL CARE ELDERLY,425800669,"HOMECARE CASA LINDA, INC.","HOMECARE CASA LINDA, INC.",LINDA ORQUIOLA,(805) 964-6339,4744 AVALON AVENUE,SANTA BARBARA,CA,93110,SANTA BARBARA,29,6,LICENSED,8/3/2001,
RESIDENTIAL CARE ELDERLY,425801273,"HOMECARE CASA RHODA #1, INC.","HOMECARE CASA RHODA 123, INC.",NORMA B. DEMONTEVERDE,(805) 683-0980,126 SANTA ANA AVENUE,SANTA BARBARA,CA,93111,SANTA BARBARA,29,6,CLOSED,4/6/2005,7/27/2016
RESIDENTIAL CARE ELDERLY,425800783,"HOMECARE CASA RHODA #2, INC.","HOMECARE CASA RHODA 123,INC.",JOHN B. DEMONTEVERDE,(805) 964-4236,165 SANTA ANA AVE.,SANTA BARBARA,CA,93111,SANTA BARBARA,29,6,CLOSED,12/23/2002,7/27/2016
RESIDENTIAL CARE ELDERLY,425800776,"HOMECARE CASA RHODA #3, INC.","HOMECARE CASA RHODA 123,INC.","DEMONTEVERDE, NORMA",(805) 696-6473,341 SANTA ROSALIA WAY,SANTA BARBARA,CA,93111,SANTA BARBARA,29,6,CLOSED,12/23/2002,7/27/2016
RESIDENTIAL CARE ELDERLY,430708645,HOMESTEAD CARE,"TUAN, ALAN & YANG, RUTH","TUAN, ALAN",(408) 737-0626,1023 WEST HOMESTEAD ROAD,SUNNYVALE,CA,94087,SANTA CLARA,26,6,CLOSED,8/22/1989,6/6/2016
RESIDENTIAL CARE ELDERLY,397002925,HOMESTEAD CARE FOR THE ELDERLY,"TINAZA JR., TEOFILO & ZENAIDA","TINAZA, TEOFILO A. JR.",(209) 939-0288,2372 BLUE TEES DRIVE,STOCKTON,CA,95206,SAN JOAQUIN,27,6,CLOSED,7/23/2004,11/7/2017
RESIDENTIAL CARE ELDERLY,397003860,HOMESTEAD CARE FOR THE ELDERLY 3,"TINAZA, ZENAIDA & TEOFILO",TEOFILO TINAZA JR.,(209) 464-1238,2329 DIAMOND OAKS ST.,STOCKTON,CA,95206,SAN JOAQUIN,27,6,CLOSED,2/11/2008,8/10/2015
RESIDENTIAL CARE ELDERLY,347003304,HOMEVILLE CARE,"VIERU, GABRIELA, VALENTIN","VIERU, GABRIELA",(916) 532-0061,6536 NORDIC COURT,CITRUS HEIGHTS,CA,95610,SACRAMENTO,27,6,LICENSED,9/13/2006,
RESIDENTIAL CARE ELDERLY,486803086,HONEYSUCKLE COMFORT HOME LLC,"HONEYSUCKLE COMFORT CARE, LLC","HARLAND, PATRICIA",(707) 386-1296,341 HONEYSUCKLE DRIVE,FAIRFIELD,CA,94533,SOLANO,21,6,CLOSED,8/13/2009,9/26/2019
RESIDENTIAL CARE ELDERLY,45002664,HONEYSUCKLE RETIREMENT HOME,VIVIAN KONEFAL,"KONEFAL, VIVIAN",(916) 396-0471,1759 HONEYSUCKLE LANE,PARADISE,CA,95969,BUTTE,25,6,CLOSED,,11/29/2018
RESIDENTIAL CARE ELDERLY,361880760,HOOFIN'S RESIDENTIAL CARE FACILITY,"HOOFIN'S RESIDENTIAL CARE FACILITY, LLC","GRIFFIN, NATORSHE",(760) 885-6298,"16613 RAMADA DR., UNIT B",VICTORVILLE,CA,92395,SAN BERNARDINO,18,4,CLOSED,,5/29/2019
RESIDENTIAL CARE ELDERLY,405802300,HOPE ASSISTED LIVING,JANELYN CASTANIAGA,"CASTANIAGA, JANELYN",(805) 717-4578,1023 SLEEPY HOLLOW,PASO ROBLES,CA,93446,SAN LUIS OBISPO,29,6,LICENSED,1/2/2019,
RESIDENTIAL CARE ELDERLY,306004667,HOPE ELDERLY CARE,JUNG HEE SEO,JUNG HEE SEO,(714) 321-4947,9691 CENTRAL AVENUE,GARDEN GROVE,CA,92844,ORANGE,22,6,CLOSED,,5/18/2015
RESIDENTIAL CARE ELDERLY,198603169,HOPE HOME CARE FOR ELDERLY,"KIM, JUNG HYUN","KIM, JUNG HYUN",(909) 217-2011,23916 HIGHLAND VALLEY RD,DIAMOND BAR,CA,91765,LOS ANGELES,28,6,LICENSED,11/7/2019,
RESIDENTIAL CARE ELDERLY,300613277,HOPE HOME FOR THE ELDERLY,"CLEVELAND, HOPE",SANDRA G. SENDOYA,(949) 859-3639,24012 SWAN DR.,LAKE FOREST,CA,92630,ORANGE,22,6,CLOSED,7/22/1994,5/1/2018
RESIDENTIAL CARE ELDERLY,197609004,HOPEFUL LIVING INC,HOPEFUL LIVING INC,"SIMITYAN, ARMENUI",(818) 438-8613,20930 GAULT ST,CANOGA PARK,CA,91303,LOS ANGELES,31,6,LICENSED,10/19/2016,
RESIDENTIAL CARE ELDERLY,410508680,HOPKINS MANOR,"MALLARI, ZENAIDA R.","ESTOLANO, MARTHA",(650) 368-5656,1235 HOPKINS AVENUE,REDWOOD CITY,CA,94062,SAN MATEO,14,88,CLOSED,6/11/1990,5/6/2015
RESIDENTIAL CARE ELDERLY,415600927,HOPKINS MANOR PACIFIC CORPORATION,"WYCKOFF, TRAVIS","WYCKOFF, TRAVIS",(415) 806-4069,1235 HOPKINS AVENUE,REDWOOD CITY,CA,94062,SAN MATEO,14,88,LICENSED,5/28/2015,
RESIDENTIAL CARE ELDERLY,197609657,HORACE ASSISTED LIVING,"GST HOLDINGS, INC.","TERZYAN, SEROB",(818) 439-8482,17355 HORACE ST,GRANADA HILLS,CA,91344,LOS ANGELES,31,6,LICENSED,11/20/2018,
RESIDENTIAL CARE ELDERLY,207208778,HORISONS UNLIMITED,HORISONS UNLIMITED,"SHARMA, RAJ",(209) 631-1390,160 S 13TH STREET,CHOWCHILLA,CA,93610,MADERA,24,40,CLOSED,,3/2/2018
RESIDENTIAL CARE ELDERLY,197609766,HORIZON ASSISTED LIVING FACILITY,"HORIZON ASSISTED LIVING FACILITY, INC.","AGHABEKYAN, GAYANE",(818) 300-8393,9708 VALJEAN AVE,NORTH HILLS,CA,91343,LOS ANGELES,31,6,LICENSED,3/13/2019,
RESIDENTIAL CARE ELDERLY,306003959,HORIZON CHATEAU ELDERLY CARE HOME,"HORIZON DIVERSIFIED GROUP, INC.","PEDROZA, FLOR MARINA",(949) 859-1944,25522 MAXIMUS STREET,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,6/19/2008,
RESIDENTIAL CARE ELDERLY,306003900,HORIZON DOS ELDERLY CARE HOME,"HORIZON DIVERSIFIED GROUP, INC.","PEDROZA, FLOR MARINA",(949) 859-7587,24572 ARTEMIA AVE.,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,6/19/2008,
RESIDENTIAL CARE ELDERLY,306004658,"HORIZON ELDER CARE, LLC","HORIZON ELDER CARE, LLC",ANDRE GARCIA,(949) 273-3195,25881 PINEWOOD LANE,LAGUNA HILLS,CA,92653,ORANGE,22,6,CLOSED,,7/30/2015
RESIDENTIAL CARE ELDERLY,306003899,HORIZON ELDERLY CARE HOME,"HORIZON DIVERSIFIED GROUP, INC.","PEDROZA, FLOR MARINA",(949) 859-8391,24632 ARTEMIA AVENUE,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,6/19/2008,
RESIDENTIAL CARE ELDERLY,455002744,"HORIZON ET AL, LLC","HORIZON ET AL, LLC","LAWSON, STEPHEN",(530) 227-5020,1023 GREENBRIAR CT,REDDING,CA,96003,SHASTA,25,6,PENDING,,
RESIDENTIAL CARE ELDERLY,306004186,HORIZON LEGACY ELDERLY CARE HOME,"HORIZON DIVERSIFIED GROUP, INC.","PEDROZA, JOHN",(949) 859-1217,25351 DIANA CIRCLE,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,4/13/2010,
RESIDENTIAL CARE ELDERLY,306004397,HORIZON PRIMAVERA SENIOR LIVING,"HORIZON DIVERSIFIED GROUP, INC.","PEDROZA, JOHN",(949) 859-8391,25341 DIANA CIRCLE,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,2/28/2012,
RESIDENTIAL CARE ELDERLY,306003901,HORIZON VILLA ELDERLY CARE HOME,"HORIZON DIVERSIFIED GROUP, INC.","PEDROZA, FLOR MARINA",(949) 859-0263,25352 DIANA CIRCLE,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,6/19/2008,
RESIDENTIAL CARE ELDERLY,336426462,HORTENSIA VILLA ASSISTED LIVING,BRIDGING LIVES LLC,"FAJARITO, DALLA",(909) 927-6276,26112 AVENIDA HORTENSIA,HEMET,CA,92544,RIVERSIDE,18,6,CLOSED,6/2/2016,12/20/2019
RESIDENTIAL CARE ELDERLY,507005641,HOSPITALITY HOUSE,"D & M INC. & NORTHSTAR SENIOR LIVING, INC.",ROBERT C. GOULD,(209) 543-9275,5400 KIERNAN ST,SALIDA,CA,95368,STANISLAUS,23,80,PENDING,,
RESIDENTIAL CARE ELDERLY,507001826,HOSPITALITY HOUSE,D & M INC; NORTHSTAR SENIOR LIVING INC,"MARTIN, REBEKAH",(209) 543-9275,5400 KIERNAN ST,SALIDA,CA,95368,STANISLAUS,27,80,CLOSED,6/7/2002,6/29/2017
RESIDENTIAL CARE ELDERLY,342700067,HOSPITALITY HOUSE,CARE OF CALIFORNIA LLC,ERICA SAMSKI,(209) 543-9275,5400 KIERNAN AVE,SALIDA,CA,95368,SACRAMENTO,27,80,LICENSED,6/28/2017,
RESIDENTIAL CARE ELDERLY,317005121,"HOUR HOME SENIOR CARE, INC.","HOUR HOME SENIOR CARE, INC.",FRANK GIARRITTA,(530) 346-7050,23573 TREE FARM ROAD,COLFAX,CA,95713,PLACER,27,3,LICENSED,1/14/2013,
RESIDENTIAL CARE ELDERLY,306004515,HOUSE AT VINEWOOD,"FAMILY VILLA HOME CARE, INC.",LINDA P. BOLIVAR,(714) 610-7568,17382 VINEWOOD AVENUE,TUSTIN,CA,92780,ORANGE,22,6,LICENSED,7/26/2013,
RESIDENTIAL CARE ELDERLY,496801011,HOUSE OF EL NINO,"BLOOMSTRAND, CANDIDA & DONALD","BLOOMSTRAND, CANDIDA",(707) 578-8925,2059 PINERCREST DRIVE,SANTA ROSA,CA,95403,SONOMA,21,3,CLOSED,2/21/2002,4/13/2016
RESIDENTIAL CARE ELDERLY,198602863,HOUSE OF GRACE 2,HOUSE OF GRACE LLC,"AGUIRRE, MICHELLE",(626) 716-1033,2815 MESA DRIVE,WEST COVINA,CA,91791,LOS ANGELES,28,6,LICENSED,12/28/2017,
RESIDENTIAL CARE ELDERLY,198602067,HOUSE OF GRACE LLC,HOUSE OF GRACE LLC,MICHELLE AGUIRRE,(626) 716-1033,618 RIDGEFIELD DRIVE,CLAREMONT,CA,91711,LOS ANGELES,28,6,LICENSED,6/17/2015,
RESIDENTIAL CARE ELDERLY,306005553,HOUSE OF HEARTS,HOUSE OF HEARTS CORPORATION,"VO, TRISHA",(714) 887-7377,6911 SAN JUAN CIR,BUENA PARK,CA,90620,ORANGE,22,6,LICENSED,5/15/2019,
RESIDENTIAL CARE ELDERLY,198602272,HOUSE OF HOPE,"REYNAGA, VIVIANA","REYNAGA, VIVIANA",(562) 325-0572,14558 BROADWAY STREET,WHITTIER,CA,90604,LOS ANGELES,28,5,LICENSED,12/16/2016,
RESIDENTIAL CARE ELDERLY,361880523,HOUSE OF JOB LLC,HOUSE OF JOB LLC,"WILLAMS, ROSALIND",(909) 275-3466,5427 MASSA WAY,FONTANA,CA,92336,SAN BERNARDINO,18,6,CLOSED,11/1/2018,6/3/2019
RESIDENTIAL CARE ELDERLY,415600730,HOUSE OF JOY CARE HOME,"GOOD STEWARDSHIP SERVICES, INC.","CHEONG-WONG, SHARON",(415) 294-2677,101 VILLAGE LANE,DALY CITY,CA,94015,SAN MATEO,14,6,CLOSED,6/30/2008,4/23/2015
RESIDENTIAL CARE ELDERLY,15600655,HOUSE OF PEACE,"PEACE HOMES, INC.","PETER, SUSAI",(510) 378-7830,8407 MAYHEWS LANDING ROAD,NEWARK,CA,94560,ALAMEDA,15,6,CLOSED,7/3/2002,9/30/2017
RESIDENTIAL CARE ELDERLY,15601466,HOUSE OF PSALMS ASSISTED LIVING FOR SENIORS,"LANCASTER INVESTMENT COMPANY OF CALIFORNIA, LLC","LI, YONGYI",(510) 251-2521,1525 7TH AVENUE,OAKLAND,CA,94606,ALAMEDA,15,23,LICENSED,10/8/2010,
RESIDENTIAL CARE ELDERLY,19200493,HOUSE OF RUTH ELDERLY CARE HOME,JERRYLYN NELSON,JERRYLYN NELSON,(510) 731-4214,27472 CALAROGA AVENUE,HAYWARD,CA,94545,ALAMEDA,15,6,CLOSED,4/25/2014,5/31/2019
RESIDENTIAL CARE ELDERLY,79200552,"HOUSE ON THE HILL, THE",SENIOR CARE PLUS LLC,"BEALL, ERIN C",(925) 683-5314,30 CENTURY OAKS CT,SAN RAMON,CA,94583,CONTRA COSTA,15,6,CLOSED,,6/20/2017
RESIDENTIAL CARE ELDERLY,374603666,HOUSEHOLD OF FAITH,"GONZALES, JOSE RAFAEL II B.",JOSE RAFAEL GONZALES,(619) 947-6027,1081 OLEANDER AVE,CHULA VISTA,CA,91911,SAN DIEGO,8,6,LICENSED,9/28/2015,
RESIDENTIAL CARE ELDERLY,336425566,HOVLEY CARE LLC,HOVLEY CARE LLC,SVETLANA CALAMARO,(760) 568-4100,40827 HOVLEY COURT,PALM DESERT,CA,92260,RIVERSIDE,18,6,LICENSED,6/18/2012,
RESIDENTIAL CARE ELDERLY,336426426,HOVLEY CARE SERVICES,"HOVLEY CARE SERVICES, LLC","CALAMARO, SVETLANA",(760) 899-6161,47-965 VIA NICE,LA QUINTA,CA,92253,RIVERSIDE,18,6,LICENSED,9/10/2014,
RESIDENTIAL CARE ELDERLY,275294251,HOWARD HOMES INC.,HOWARD HOMES INC.,"HOWARD, ERNEST",(831) 262-6987,634 SANTA CRUZ AVENUE,SALINAS,CA,93901,MONTEREY,26,6,CLOSED,10/11/2007,12/7/2016
RESIDENTIAL CARE ELDERLY,15601187,HRS CARE HOME,"DE LUNA, DIOSDADO","DE LUNA, DIOSDADO",(925) 454-3320,1352 ASTER LANE,LIVERMORE,CA,94550,ALAMEDA,15,6,LICENSED,3/30/2005,
RESIDENTIAL CARE ELDERLY,415201160,HUDSON MANOR,"MANIAM, WENDY",WENDY MANIAM,(650) 298-8888,278 HUDSON STREET,REDWOOD CITY,CA,94062,SAN MATEO,14,6,LICENSED,1/30/2004,
RESIDENTIAL CARE ELDERLY,107201595,HULBERT AVENUE CHRISTIAN HOME,"FERNANDEZ, NARCISA","FERNANDEZ, NARCISA",(559) 246-5637,4473 N. HULBERT AVENUE,FRESNO,CA,93705,FRESNO,24,6,LICENSED,7/1/2003,
RESIDENTIAL CARE ELDERLY,197609031,HUMBLE HAVEN RCFE LLC,HUMBLE HAVEN RCFE LLC,"DE LAS ALAS, NICOLE",(707) 688-5606,28143 SHELTER COVE DRIVE,SANTA CLARITA,CA,91350,LOS ANGELES,31,6,LICENSED,8/16/2016,
RESIDENTIAL CARE ELDERLY,107208822,HUMBLE SENIOR CARE INC,HUMBLE SENIOR CARE INC,"AVAKIAN, ANI",(559) 875-0559,315 WEST AVENUE,SANGER,CA,93657,FRESNO,24,6,CLOSED,1/22/2018,3/1/2019
RESIDENTIAL CARE ELDERLY,126803649,HUMBOLDT HOUSE LODGE LLC,HUMBOLDT HOUSE LODGE LLC,"POWELL, SUSAN MARIE",(707) 798-6260,4041 F STREET,EUREKA,CA,95503,HUMBOLDT,21,30,LICENSED,8/26/2016,
RESIDENTIAL CARE ELDERLY,374603381,HUMMINGBIRD HILL,"DIGNIFIED LIFE, LLC",CHRIS B. CONKLIN,(760) 723-9414,1027 CALLE DE LIMAR,FALLBROOK,CA,92028,SAN DIEGO,8,5,LICENSED,8/20/2013,
RESIDENTIAL CARE ELDERLY,502700094,HUMMINGBIRD MANOR,"MPA ENTERPRISES, LLC","AZIZ, MARIAM",(209) 521-4411,3205 HUMMINGBIRD LN,MODESTO,CA,95356,STANISLAUS,27,6,LICENSED,3/15/2017,
RESIDENTIAL CARE ELDERLY,374602275,"HUNTER'S HOME CARE, LLC","HUNTER'S HOME CARE, LLC",ELIZABETH HUNTER,(619) 546-5371,4905 WYCONDA LN,SAN DIEGO,CA,92113,SAN DIEGO,8,6,CLOSED,9/27/2005,3/10/2017
RESIDENTIAL CARE ELDERLY,300606861,HUNTINGTON BEACH GUEST HOME,"HUNTINGTON BEACH GUEST HOME 1 AND 2, LLC","L. MANGURAY, N.& W. URETA",(714) 536-2375,8392 CRANE CIRCLE,HUNTINGTON BEACH,CA,92646,ORANGE,22,6,LICENSED,8/22/1988,
RESIDENTIAL CARE ELDERLY,300606862,HUNTINGTON BEACH GUEST HOME II,"HUNTINGTON BEACH GUEST HOME 1 AND 2, LLC","L. MANGURAY, N.& W.URETA",(714) 536-2375,8382 CRANE CIRCLE,HUNTINGTON BEACH,CA,92646,ORANGE,22,6,LICENSED,8/22/1988,
RESIDENTIAL CARE ELDERLY,306005641,HUNTINGTON BEACH HOME CARE,THIRACARE INC.,"EBREO, MYRNA",(714) 843-9384,8271 KINER DR,HUNTINGTON BEACH,CA,92646,ORANGE,22,6,LICENSED,6/19/2019,
RESIDENTIAL CARE ELDERLY,306001176,HUNTINGTON BEACH HOME CARE II,"CHAICHAN, CHAVANA",MYRNA EBREO,(714) 843-9384,8271 KINER AVE.,HUNTINGTON BEACH,CA,92646,ORANGE,22,6,CLOSED,6/9/2000,6/19/2019
RESIDENTIAL CARE ELDERLY,374604095,HUNTINGTON CHATEAU,HUNTINGTON MANOR INC,"DERAFERA, LYNDON M.",(858) 231-4126,14934 HUNTINGTON GATE DR,POWAY,CA,92064,SAN DIEGO,8,6,LICENSED,10/11/2018,
RESIDENTIAL CARE ELDERLY,306002648,HUNTINGTON ELDER-CARE I,HUNTINGTON ELDERCARE INC.,CARMEN G. ACHIM,(714) 964-9628,20141 BUSHARD STREET,HUNTINGTON BEACH,CA,92646,ORANGE,22,6,LICENSED,4/28/2005,
RESIDENTIAL CARE ELDERLY,306002853,HUNTINGTON ELDER-CARE II,HUNTINGTON ELDERCARE INC.,CARMEN G. ACHIM,(714) 378-0563,9452 NAUTILUS DRIVE,HUNTINGTON BEACH,CA,92646,ORANGE,22,6,LICENSED,4/28/2005,
RESIDENTIAL CARE ELDERLY,306003798,HUNTINGTON ELDERCARE IV,HUNTINGTON ELDERCARE INC.,NICOLAE ACHIM,(714) 962-8230,9442 NAUTILUS DRIVE,HUNTINGTON BEACH,CA,92646,ORANGE,22,6,LICENSED,12/17/2007,
RESIDENTIAL CARE ELDERLY,374601434,HUNTINGTON HOUSE,"HUNTINGTON MANOR, INC.",PHILIP BUTZEN,(858) 513-0589,14805 BUDWIN LANE,POWAY,CA,92064,SAN DIEGO,8,6,LICENSED,9/4/2003,
RESIDENTIAL CARE ELDERLY,374601353,HUNTINGTON MANOR,"HUNTINGTON MANOR, INC","DERAFERA, TESS",(858) 748-3381,14755 BUDWIN LANE,POWAY,CA,92064,SAN DIEGO,8,21,LICENSED,10/31/2006,
RESIDENTIAL CARE ELDERLY,191600341,HUNTINGTON RETIREMENT HOTEL,ADF INVESTMENTS,HEATHER ARGUETA,(310) 370-5828,20920 EARL STREET,TORRANCE,CA,90503,LOS ANGELES,11,155,LICENSED,4/16/1988,
RESIDENTIAL CARE ELDERLY,306003431,HUNTINGTON TERRACE,MBK HUNTINGTON TERR LLC/MSL COMMUNITY MGNT LLC,BONNIE CHRISTIE,(714) 848-8811,18800 FLORIDA STREET,HUNTINGTON BEACH,CA,92648,ORANGE,22,185,CLOSED,11/3/2006,7/31/2015
RESIDENTIAL CARE ELDERLY,306004796,HUNTINGTON TERRACE,S-H HUNTINGTON TERRACE OPCO; MSL COMMUNITY MGT LLC,"HILES, LINDA",(714) 848-8811,18800 FLORIDA ST,HUNTING BEACH,CA,92648,ORANGE,22,185,LICENSED,7/31/2015,
RESIDENTIAL CARE ELDERLY,75601189,HUSTON CARE HOME,"IGNATIUS COMPANY, LLC, THE","SHARMA,N & LGNATIVS, J & L",(415) 934-1811,1503 HUSTON ROAD,LAFAYETTE,CA,94549,CONTRA COSTA,15,6,CLOSED,1/25/2006,10/25/2017
RESIDENTIAL CARE ELDERLY,197609094,HUSTON HOME,TENDER LOVE,"MWANGI, STEPHEN",(661) 675-9899,2801 HUSTON PLACE,LANCASTER,CA,93536,LOS ANGELES,31,6,CLOSED,1/20/2017,10/4/2018
RESIDENTIAL CARE ELDERLY,197607120,"HUSTON PLACE, THE","CAREZEN, INC.",ZENEDIE YUTUC CALONZO,(661) 726-1869,2801 HUSTON PLACE,LANCASTER,CA,93536,LOS ANGELES,31,5,CLOSED,7/3/2007,1/20/2017
RESIDENTIAL CARE ELDERLY,15601288,HYACINTH'S CARE HOME,"VEGA-CAJUCOM, MICHELLE M.","VEGA-CAJUCOM, MICHELLE",(510) 639-9208,1751 AUSEON AVENUE,OAKLAND,CA,94621,ALAMEDA,15,6,CLOSED,1/9/2007,7/24/2015
RESIDENTIAL CARE ELDERLY,197607534,H&M CARE HOME CORP,H&M CARE HOME CORP.,MERLY D. DEE,(661) 266-1257,744 VANDAL WAY,PALMDALE,CA,93551,LOS ANGELES,31,6,LICENSED,7/31/2008,
